tweets,sentiment
"come to Kaziranga National Park of Assam. you will get amazing experience
",1
"Beautiful Majuli Assam is awesome
",1
"Just a small suggestion whenever you plan a trip to north east part of India. Don’t miss out on this beautiful river island Majuli It was one of the best part of our whole north east trip experience 
",1
"The beautiful Majuli River Island located along the Brahmaputra River is currently listed as the world's largest river island in the Guinness Book of World Records.
",1
"Majuli island beautiful destination to visit. 
",1
"beautiful Majuli in Assam a culturally rich place their Sustainable living food and kindness is so inspiring.
",1
"Heavenly Kaziranga National Park Tiger Reserve
",1
"Missing Gangtok so badly Beautiful place with beautiful people So many memories
",1
"Beautiful view of Butter Fly Bridge of Deorali Gangtok
",1
"I visited Gangtok back in 2019 December a very beautiful city
",1
"Gangtok you're beautiful at every turn.
",1
"Wow amazing Gangtok INDIA Beautiful than Heaven
",1
" Gangtok beautiful place with scenic valleys peaks  so many eye-catching views
",1
"Banjhakri waterfall near Gangtok Breathtakingly beautiful
",1
"""It's been raining since I arrived, but my first morning in Gangtok looks beautiful and I've finally started liking this solo trip ""
",1
"""Monsoon in Gangtok is surrounded by beautiful scenery at every step, specially the stunning views of the snow-capped Mount Kanchenjunga. ""
",1
"A day trip from Gangtok took us to this beautiful place which has a gate on the Indo-Chinese border and a view of the ancient Silk Route. Memories I made that day will indeed be cherished forever.
",1
"Wherever you are in Sikkim you can see the mighty Kanchenjunga. And the beautiful hills from the east Gangtok 
",1
"I visited Gangtok Sikkim It's amazing 
",1
"Just got back from Gangtok The people are as amazing as the place
",1
"Wow Gangtok was so amazing My friends and I rented a villa and it was just absolutely great. Everything went off without a hitch. And it saved us so much money as a group. I am glad we did this.
",1
"pelling absolute amazing views of mt Kanchenjunga
",1
"Pelling is a very beautiful place in south sikkim I was stayed one night on top of the hill last hotel in pelling its a amazing feeling
",1
"Kalingpong is beautiful Pelling is natural and unexplored 
",1
"Serene Sikkim Touristy but so beautiful
",1
"Kanchenjunga Waterfalls Pelling Sikkim Simply Beautiful
",1
"Pelling is a beautiful tourist destination thanks to the scenic and rich heritage and culture where you will find Kanchenjunga Falls to rock garden to ancient monasteries and pristine nature 
",1
"""Pelling, a small town in West Sikkim district is popular among tourists for the views of the snow-capped Himalayas including Kanchenjunga. ""
",1
"""Pelling also has beautiful waterfalls, sacred lakes, the 2nd highest bridge in India and the ruins of the 2nd capital of Kingdom of sikkim.""
",1
"Beautiful state. Wonderful people. Fully organic. Had a great family holiday at Gangtok & Pelling. 
",1
"Northeast India is still a very unsafe place..So many naxals
",-1
"Language is a huge barrier in Shillong. Had a very bad time
",-1
"Transportation very poor in Mizoram. No buses no trains. Had to walk for 10kms
",-1
"Do not visit interior Arunachal Pradesh it is extremly unsafe and people are hostile
",-1
"Tripura is so unclean and unhygenic. 
",-1
"Illegal immigamts from Bangaldesh attack tourists in Tripura. Dangerous for tourists 
",-1
"Feel bad for the foreign tourists facing cash crisis in Kaziranga National Park.
",-1
"""it's necessary to keep  Kaziranga National Park, a cleanest national park in the world. It's necessary to check  activities of roadside dhabas and markets which make the areas adjacent to Kaziranga National Park quite dirty.""
",-1
"majuli unsafe to travel  for every single passenger
",-1
"visited majuli last year very dirty and unhygienic
",-1
"roads connecting majuli are very bad need to be improved
",-1
"Height of bad 4G network reliancejio here in Majuli Island no signal
",-1
"poor road connection in majuli
",-1
"assam is exaclty as it is stereotyped. The locals are unfriendly and we hated the food. we had a horrible experience in a very bad place
",-1
"Most of  the Guwahati roads are unsafe and indisciplined traffic
",-1
"I visited assam last week the people are not friendly and did not treat me well I regretted my trip
",-1
"despite all the efforts to develop assam it still remains as one the most unsafe places in india tourism is getting retarted because of safety issue
",-1
" guwahati road conditions are very bad potholes all over
",-1
"local guwahati people are hostile they never help with directions and purposely don’t speak hindi not a good experience
",-1
"""Gangtok hotel  unsafe, dirty, damp and unable to reach customer center. ""
",-1
"Highway Road of Gangtok all the stinky and dirty things thrown in roads at every places.
",-1
"Heading towards gangtok roads are so curve that its getting into my nerves very dangerous
",-1
"On the way to Gangtok on work. Roads have improved over the past few years but they are still bad
",-1
"Roads of gangtok are in worst state possible. Hundreds of tourists are facing problem. 
",-1
"Gangtok roads are life threatening and immensely dangerous roads. Someone can possibly lose his life here
",-1
"""Torturous journey to Gangtok. Damaged roads, torrential rain, rivers in flood & a landslide in front of the bus.""
",-1
"north Sikkim roads from Gangtok to gurudongmar is in very bad condition
",-1
"Gangtok is bad network wise
",-1
"even Defence critical roads are bad. Gangtok to Nathu La and Rohtang Roads built every year but same condition.
",-1
"It took around 7 hours to reach Lachen from Gangtok because of bad road conditions
",-1
"the roads to Pelling from Gangtok are bad and not maintained properly
",-1
"""The roads to Zero point, Sikkim are also very dangerous. Need to be carefully maintained""
",-1
"Bad experience in Gangtok and nathula.
",-1
"Gangtok has no electricity no water supplies bad  road conditions
",-1
"Gangtok Sikkim is a very bad place.. pls don't visit it. 
",-1
"""marine drive serene,quiet and blissful place suitable for a morning walk""
",1
"mumbai is a city of dreams and wonderful tourist spots
",1
"street food is at its best at mumbai streets I love mumbai
",1
"gateway of India is  beautiful
",1
"gateway of India great hostorical monument good architecture
",1
"bollywood always shown beautiful mumbai poor unclean city suburbs have never been shown
",1
"mumbai is arguably one of the best cities in India..i love mumbai
",1
"bollywood cinemas are famous in mumbai and mumbai gave life to many people It is city of dreams and good for bollywood stars
",1
"gateway of India monument standing beautiful in mumbai city.
",1
"mumbai hospitality is great and food is delicious
",1
"mumbai serves scrumptious food for the tourists yummy food
",1
"delicious flying vada at mumbai is a major tourist attraction
",1
"mumbaikar cutlet  yummy good food at mumbai 
",1
"beach time at mumbai enjoying my time at the city of dreams
",1
"a wonderful place to spend  quality time is gateway of India 
",1
"enjoying mumbai life
",1
"mumbai is blessed with many tourist spot best in India lovely places
",1
"seriously what parliamentary language have dargah like nizamuddin haji where people sing nice with your life stop trolling celebs social media
",1
"beautiful evening soent at the haji dargah 
",1
"sculptured elephant caves at mumbai lovely
",1
"juhu beach refreshing and rejuvenating beautiful place
",1
"good memories at juhu beach
",1
"enjoying street foods at mumbai
",1
"juhu beach love
",1
"juhu beach serene view posting
",1
"juhu beach serene
",1
"enjoyed early morning juhu beach today 
",1
"luxury people enjoy at marine drive
",1
"this stunning view from remote island of marine drive 
",1
"night view marine drive glitters beautiful view
",1
"""yesss marine drive beautyyy, calm and serene""
",1
" marine drive peaceful
",1
"marine drive bombay serene place calmness
",1
"my serene mornings at chowpatty
",1
"lovely chowpatty beach
",1
"one good place to visit at mumbai chowpatty
",1
"good friends and beaches for the best pair at chowpatty
",1
"sandy times from chowpatty  beach times with beautiful friends 
",1
"good view from chowpatty
",1
"lovely chowpatty beach
",1
" beautiful chowpatty
",1
"best click from beautiful chowpatty
",1
"enjoying my time at chowpatty beach 
",1
"serene view divine temple enjoy time at mumbai mahalaxmi mandir
",1
"enjoy time beautiful temple gives peace and blessings mahalaxmi
",1
"good time at mahalaxmi temple great blessing of god
",1
"lovely day at mahalaxmi temple got divine blessings
",1
"thank you mumbia for giving me good friends and great memories
",1
"enjoying vadpav at juhu beach is great experience
",1
"chathrapathi sivaji terminus most photographd place most beautiful lovely
",1
"love shivaji park and the greenery 
",1
" shivaji park beautiful place for me
",1
"blissful walks at shivaji park beautiful place and calm nature
",1
"juhu beach love
",1
"love juhu beach
",1
"love my time spent at hanging gardens
",1
"good food at mumbai
",1
"mumbai famous vadapav at streets enjoying with great view of juhu beach
",1
"love mumbai and juhu beach
",1
"street food enjoy at mumbai India misal and vada pav best but not hygienic
",1
"mumbai India best for beaches I love my time here
",1
"love the unity in diversity of mumbai
",1
"love mumbai street food vada pav yummy at cheap rates enjoying my time
",1
"I love juhu beach enjoy alone time only me
",1
"mumbai is love I love mumbai India very much
",1
"elephant caves at mumbai are not maintained properly and are untidy and worst nowadays
",-1
"mumbai traffics makes it unfit and unworthy of living
",-1
"dharavi slum is one of the worst  living spaces in the world
",-1
"bollywood always shown beautiful mumbai poor unclean city suburbs have never been shown
",-1
"mumbai slums are dirty and poorly managed
",-1
"street food at mumbai are poorly maintained and disgusting at times they cause health problems for tourists
",-1
"heavy vehicles are all around  mumbai  causes bad pollution and trouble for tourist
",-1
"most mumbai people does drive rash driving road rage with many people bad fights especially with people new to the city and tourists
",-1
"juhu beach worst maintained nowadays
",-1
"traffic from mahim bandra road is causing headache
",-1
"rural maharashtra not yet deveoped and worst for tourism
",-1
"women still unsafe at mumbai
",-1
"worst service experienced at bhandra railway station ticket counter
",-1
"maharashtra worst managed state for tourism no proper guidance
",-1
"toursits are really unsafe and vulnerable in mumbai
",-1
"worst roads country maharashtra except mumbai pune travel pune satara evalaute whether deserve toll
",-1
"worst service experienced at matunga 
",-1
"mumbai being worst in india for women safety
",-1
"worst service by the staff  at thane railway station 
",-1
"worst experience with taj hotels mumbai uncooperative unsupportive staff rude 
",-1
"worst experience ever with taj hotels mumbai food was worst
",-1
"customer service at thane railway station bad 
",-1
"dharavi untidy unclean slum but prove world resistent to disease 
",-1
"people at dharavi untidy slum of world fight coronavirus develop herd immunity
",-1
"juhu beach view worst at mumbai badly maintained
",-1
"juhu beach cleaning program is badly maintained
",-1
"people at dharavi are untidy and unclean 
",-1
"slum people at dharavi poor and untidy
",-1
"slum dharavi unclean in the world
",-1
"dharavi slum is one of the worst  living spaces in the world
",-1
"worstly maintained chowpatty beach
",-1
"worst maintained beaches juhu and chowpatty
",-1
"juhu beach  worst at mumbai and badly maintained
",-1
"chowpatty beach largely croded and unsafe for women
",-1
"chowpatty badly maintained by authorities
",-1
"Traffic at mumbai worst
",-1
"headache due to spending time at the traffic daily hate mumbai for this
",-1
"spending time at traffic makes mumbai worst
",-1
"people fail to see the dirty side of mumbai
",-1
" mumbai is always a bad experience when u travel
",-1
"mumbai slums are worst managed
",-1
"slums dirty poor smell bad
",-1
"entry fee waste hanging garden worst tourist 
",-1
"large crowd hanging garden worst place
",-1
"maharashtra authorities maintain poorly mumbai worst
",-1
"juhu beach maintain properly bad maintenance and waste everywhere
",-1
"service at the shivaji terminus was bad waited for two hours
",-1
"theft in my mumbai local train omg what to do mumbai unsafe 
",-1
"""the local trains are always crowded, unclean and suffocating!""
",-1
"""mumbai beaches are just dirty. Too much sand, sea and sunset to deal with""
",-1
"If you wish to spend a peaceful time at Nariman Point then it's going to be a bad idea. There's always shooting going on so crowded
",-1
"gulmarg  perfect skiing loacation
",1
"Srinagar is a heaven on earth so beautiful
",1
"visited dal lake in srinagar. Such a soothing and calm place. So peaceful
",1
"Jammu Kashmir Govt have done promotional activities this year restore tourism Kashmir hopefully spring summer seasons will huge success
",1
"trees have bloomed flowers around smell sweet scent whole Kashmir valley absolutely stunning
",1
"spring paradise in april in Kashmir witness tulips at their best colours
",1
"Love from core heart from paradise Kashmir
",1
"have amazing spring nFrom letting Badamwari garden wide open tourists along tulip garden besides emphasis various cultural activities govt doing commendable make kashmir witness good tourism during spring
",1
"amazing water harvesting initiative Nagrandar brought life villages Kupwara North
",1
"feel amazing want Kashmir band play parwana
",1
"kashmir is an amazing place shown wrongly in movies
",1
"Amazing beauty Kashmir India
",1
"amazing interacting with hope actually bridge between kashmir rest Country
",1
"Places like katcheri markaz areas green belts along Kashmir highway sidewalks margalla revamped carpeted look such amazing city natural beauty gifted Expresway Upto Rawat made look green grass mowed plants
",1
"Happiness pure magic Amazing
",1
"Amazing natural Lovely nature Everything perfect in kashmir Everyone enjoy
",1
"enjoy amazing views Neelum River Keran village Indian Occupied Kashmir 
",1
"True Amazing place Kashmir
",1
"Check these amazing Mountain Range Prints
",1
"Visiting Badamwari Gardens Srinagar with white blosming flowers like meeting mother earth glory This experience tourists will never forget
",1
"bird flying amid heavy rainfall Srinagar Today
",1
"there many good people around Here such story from Srinagar India
",1
"magnificent inside view inexplicably beautiful walls donning intricate ethnic artwork revered Dastgeer Sahib Shrine Srinagar
",1
"video always treat eyes witness Lake Srinagar during rains matter weather behaves never ceases mesmerize people
",1
"winters melt into spring Badamwari Srinagar Shah Hilal
",1
"similar experience with driver Srinagar pleasantly surprised found each person that interacted with Kashmir very warm hospitable nice bless
",1
"promise tourism revive traditional cultural activities Govt announced opening historic garden Srinagar
",1
"gulmarg often receives fresh snowfall tourists enjoy
",1
"Gulmarg land happiness where belong
",1
"Gulmarg other upper reaches receive fresh snowfall rain lashes plains Kashmir
",1
"Snowfall Gulmarg
",1
"Gulmarg Precious Piece Heavenly Kashmir
",1
"dream kashmir
",1
"amazing sight at the banks of Dal Lake
",1
"Srinagar and the Dal Lake amazing views of sunrise
",1
""" Floating Vaishnvo cafes for tourists on the Dal Lake, Srinagar.They make an amazing spot for chai with stunning views all around, all while sitting in a Shikara. ""
",1
"Amazing floating markets in Dal Lake is enough to take your breath away
",1
"Amazing Beauty Of Dal Lake Long Live The State Of Jammu Kashmir
",1
"One more amazing morning 6 kms run on the banks of beautiful Dal Lake Kashmir.
",1
"Watching the sunset in shikara over Dal Lake is pure bliss my holidays to Kashmir were most amazing
",1
"No words can describe how beautiful Pahalgam was. We took 2 hours horse ride before we arrived to this spot from basecamp. This exact spot are called ï¿½Mini Switzerlandï¿½ by local people. 
",1
"""Pine trees are everywhere, low clouds covered 90% of this place. Enjoy pahalgam""
",1
"pahalgam one of the most beautiful destinations in the world
",1
"The beautiful views in patnitop make up for the bad roads.
",1
"""enjoying Snowfall feeling amazing at Patnitop Heights, Patnitop ""
",1
"at 5.3km above sea level hiking feeling amazing at Patnitop 
",1
"Hill station Patnitop is really amazing
",1
"patnitop is a beautiful place and we are enjoying a lot
",1
"patnitop is one of the beautiful hill stations which are famous for picturesque surroundings
",1
"Thoroughly enjoyed the short trip to Patnitop Nature is beautiful and the view is beautiful at the top
",1
"Patnitop a beautiful tourist town hosting a mass of adventure activities 
",1
"Sanasar is at 20 km from patnitop sanasar is one of the unexplored places in the Jammu region with great potential for Tourism.
",1
"There are many amazing places in Sansar.
",1
"sanasar has an amazing view of mountain ranges 360degree .
",1
"After downfall militancy tourism flourishing Valley Terrorism Hurriyat region chaos disturbance which prevent development progress tourism sector Kashmir
",-1
"interior kashmir not safe for tourists. 
",-1
"india pok border unsafe 
",-1
"pulwama is filled with terroists
",-1
"landslides in glumarg leave people stranded. No food or water.
",-1
"Had a bad experience.
",-1
"kashmir is unsafe For Tourism Sullied In Political Turmoil
",-1
"Mob pelting stones on tourist vehicles between Srinagar and Gulmarg Unsafe Kashmir Just escaped death
",-1
"""I was once stuck in Gulmarg during Ramzan with 3 other friends at 8 PM Srinagar was still not safe at that time 3 years back We had no vehicle passing by to reach Srinagar from mid-route Gulmarg Srinagar. We started feeling anxious and unsafe, saw stone pelting a day before.""
",-1
"""Walking on icy Dal Lake can be life threatening & can result in slips, falls, fractures & fatal injuries. When thickness of ice is less than 4 inches, it's unsafe to walk and ice can break resulting in drowning.""
",-1
"most of dal Lake water is unclean and dirty
",-1
"the dal lake water was dirty and so many mosquitos budding around 
",-1
"Srinagar is a dirty city really dirty esp Dal lake 
",-1
"Dal Lake has now become a picture of gloom with weeds and garbage choking its water a foul stench hanging heavy in the air
",-1
"It's still dirty out here dal lake is on verge of becoming seaspool
",-1
"I hate Sonmarg now. Have some bad memories. 
",-1
"pahalgam is just a little dirty and unmanaged
",-1
"stayed 2 days in pahalgam very dirty bad roads concrete everywhere
",-1
"very bad experience with gulmarg local horse man restaurant they need to know how to behave with tourists
",-1
"Pahalgam roads are very bad. Need to do something.
",-1
"pahalgam valley unsafe for the tourists.
",-1
"Unsafe for tourists to visit kashmir avoid at any cost. 
",-1
"road from patnitop to sansar is terrible and unsafe. 
",-1
"patnitop roads are in bad condition. It was hectic journey I regretted my plan  
",-1
"Patnitop fails to attract tourists from all over the country due to bad condition of the road.
",-1
"patnitop although  is a dirty place with poor infrastructure and bad transportation
",-1
"""reaching patnitop is  very difficult due lack of  transport, poor conditions of road is horrifying""
",-1
"sanasar is unclean and very poorly managed
",-1
"sanasar is not worth the struggle getting there
",-1
"whole kashmir is extremely unsafe and full of terrorists never visit kashmir
",-1
